"","sorted_reads.bam"
"100009600",25
"100009609",0
"100009614",0
"100009664",0
"100012",0
"100017",140
"100019",3355
"100033459",0
"100034251",3
"100034361",1187
"100034363",28
"100034675",0
"100034684",0
"100034726",3521
"100034729",0
"100034739",30
"100034748",17
"100036518",0
"100036520",0
"100036521",1391
"100036523",20
"100036537",7
"100036568",65
"100036569",58
"100036768",63
"100037258",3005
"100037260",13
"100037262",33
"100037278",35
"100037282",586
"100037283",495
"100037396",181
"100037413",0
"100038347",1119
"100038353",0
"100038356",34
"100038358",29
"100038363",0
"100038371",16
"100038374",2
"100038378",15
"100038382",0
"100038384",4
"100038388",5
"100038392",38
"100038394",0
"100038410",4
"100038411",25
"100038417",4
"100038429",1
"100038433",21
"100038437",2
"100038439",0
"100038453",49
"100038454",1
"100038460",10
"100038464",0
"100038467",0
"100038468",8
"100038479",0
"100038481",1
"100038489",0
"100038492",62
"100038493",1
"100038494",1
"100038497",34
"100038504",3
"100038505",0
"100038513",1
"100038514",26
"100038516",4
"100038522",6
"100038525",0
"100038526",152
"100038528",0
"100038532",1
"100038538",54
"100038543",1
"100038545",1
"100038554",0
"100038555",0
"100038556",0
"100038560",26
"100038566",7
"100038570",87
"100038571",0
"100038574",2
"100038575",179
"100038577",38
"100038582",0
"100038584",0
"100038591",78
"100038595",26
"100038599",0
"100038600",3
"100038601",0
"100038602",16
"100038607",3
"100038608",0
"100038610",0
"100038614",47
"100038617",0
"100038618",0
"100038623",0
"100038627",16
"100038628",0
"100038636",13
"100038638",5
"100038653",2
"100038654",6
"100038657",1
"100038659",0
"100038666",0
"100038671",0
"100038689",23
"100038690",1
"100038693",3
"100038699",128
"100038700",7
"100038706",0
"100038709",0
"100038712",164
"100038713",93
"100038714",6
"100038718",1
"100038725",945
"100038726",0
"100038728",1
"100038732",1
"100038734",0
"100038735",5
"100038739",71
"100038743",143
"100038746",1034
"100038752",0
"100038755",62
"100038759",36
"100038761",2
"100038847",28
"100038850",0
"100038854",0
"100038859",1
"100038860",0
"100038862",0
"100038882",10
"100038909",0
"100038912",0
"100038927",0
"100038941",0
"100038947",0
"100038948",2
"100038949",0
"100038967",0
"100038969",15
"100038971",0
"100038977",0
"100038982",12
"100038987",0
"100038992",227
"100038995",0
"100038997",0
"100039008",2
"100039010",0
"100039014",0
"100039019",0
"100039026",1987
"100039027",76
"100039028",1
"100039029",0
"100039030",0
"100039034",0
"100039042",13
"100039043",2
"100039045",3
"100039052",10
"100039054",0
"100039055",0
"100039060",667
"100039062",131
"100039065",0
"100039078",15
"100039087",0
"100039089",1
"100039100",0
"100039116",0
"100039120",0
"100039123",923
"100039138",73
"100039139",18
"100039148",0
"100039150",0
"100039176",0
"100039177",1
"100039184",8
"100039186",0
"100039206",1
"100039210",38
"100039222",4
"100039225",0
"100039239",364
"100039240",0
"100039252",730
"100039269",0
"100039284",70
"100039315",0
"100039319",0
"100039324",0
"100039332",254
"100039348",0
"100039350",16
"100039374",547
"100039377",0
"100039432",0
"100039436",0
"100039440",66
"100039441",45
"100039446",1
"100039452",6
"100039467",0
"100039478",1
"100039479",0
"100039495",55
"100039499",0
"100039532",151
"100039542",35
"100039548",0
"100039550",0
"100039551",0
