"","sorted_reads_SRR14114310.bam"
"100009600",21
"100009609",0
"100009614",0
"100009664",0
"100012",0
"100017",115
"100019",2561
"100033459",0
"100034251",0
"100034361",733
"100034363",14
"100034675",1
"100034684",0
"100034726",2428
"100034729",0
"100034739",14
"100034748",9
"100036518",0
"100036520",0
"100036521",879
"100036523",19
"100036537",5
"100036568",31
"100036569",44
"100036768",60
"100037258",1925
"100037260",13
"100037262",21
"100037278",45
"100037282",330
"100037283",337
"100037396",113
"100037413",0
"100038347",766
"100038353",3
"100038356",22
"100038358",18
"100038363",3
"100038371",8
"100038374",3
"100038378",7
"100038382",0
"100038384",0
"100038388",4
"100038392",25
"100038394",0
"100038410",2
"100038411",39
"100038417",2
"100038429",1
"100038433",9
"100038437",0
"100038439",0
"100038453",15
"100038454",2
"100038460",6
"100038464",1
"100038467",4
"100038468",4
"100038479",0
"100038481",0
"100038489",0
"100038492",77
"100038493",1
"100038494",0
"100038497",28
"100038504",4
"100038505",2
"100038513",2
"100038514",23
"100038516",6
"100038522",1
"100038525",0
"100038526",106
"100038528",0
"100038532",1
"100038538",38
"100038543",1
"100038545",0
"100038554",0
"100038555",0
"100038556",0
"100038560",17
"100038566",5
"100038570",60
"100038571",0
"100038574",0
"100038575",79
"100038577",57
"100038582",0
"100038584",0
"100038591",33
"100038595",21
"100038599",0
"100038600",0
"100038601",0
"100038602",6
"100038607",5
"100038608",2
"100038610",0
"100038614",36
"100038617",0
"100038618",0
"100038623",0
"100038627",18
"100038628",0
"100038636",4
"100038638",4
"100038653",2
"100038654",6
"100038657",0
"100038659",0
"100038666",0
"100038671",0
"100038689",13
"100038690",0
"100038693",1
"100038699",125
"100038700",8
"100038706",0
"100038709",0
"100038712",114
"100038713",69
"100038714",3
"100038718",1
"100038725",631
"100038726",0
"100038728",2
"100038732",5
"100038734",0
"100038735",6
"100038739",53
"100038743",82
"100038746",561
"100038752",4
"100038755",47
"100038759",15
"100038761",1
"100038847",20
"100038850",0
"100038854",0
"100038859",10
"100038860",3
"100038862",0
"100038882",19
"100038909",3
"100038912",1
"100038927",0
"100038941",0
"100038947",1
"100038948",0
"100038949",0
"100038967",0
"100038969",3
"100038971",0
"100038977",0
"100038982",9
"100038987",0
"100038992",160
"100038995",0
"100038997",0
"100039008",1
"100039010",0
"100039014",0
"100039019",0
"100039026",1263
"100039027",46
"100039028",0
"100039029",0
"100039030",0
"100039034",0
"100039042",9
"100039043",5
"100039045",8
"100039052",6
"100039054",1
"100039055",0
"100039060",464
"100039062",81
"100039065",0
"100039078",11
"100039087",0
"100039089",0
"100039100",0
"100039116",0
"100039120",0
"100039123",651
"100039138",55
"100039139",17
"100039148",0
"100039150",0
"100039176",0
"100039177",0
"100039184",1
"100039186",1
"100039206",0
"100039210",49
"100039222",2
"100039225",0
"100039239",258
"100039240",0
"100039252",492
"100039269",0
"100039284",50
"100039315",0
"100039319",0
"100039324",0
"100039332",156
"100039348",0
"100039350",10
"100039374",363
"100039377",0
"100039432",0
"100039436",0
"100039440",47
"100039441",35
"100039446",2
"100039452",4
"100039467",0
"100039478",0
"100039479",0
"100039495",54
"100039499",0
"100039532",100
"100039542",35
"100039548",0
"100039550",0
"100039551",0
"100039574",0
"100039585",0
"100039595",0
"100039596",8
"100039614",0
"100039636",7577
"100039641",0
"100039672",0
"100039674",11
"100039681",0
"100039684",106
"100039691",7
"100039706",4
"100039707",122
"100039727",0
"100039736",0
"100039739",0
"100039753",0
"100039763",3
"100039781",8
"100039786",2447
"100039789",2
"100039790",0
"100039794",3
"100039795",4663
"100039796",67
"100039801",2
"100039805",3
"100039810",0
"100039815",98
"100039830",114
"100039837",15
"100039861",27
"100039863",324
"100039864",288
"100039890",0
"100039895",0
"100039899",5
"100039901",23
"100039904",0
"100039911",0
"100039913",0
"100039934",0
"100039946",0
"100039948",0
"100039953",7
"100039954",2
"100039957",2
"100039964",80
"100039968",33
"100039992",0
"100040016",0
"100040018",14
"100040019",3
"100040020",0
"100040022",0
"100040030",1
"100040031",0
"100040035",3
"100040048",289
"100040049",1
"100040160",0
"100040171",0
"100040187",0
"100040201",0
"100040208",0
"100040214",0
"100040223",0
"100040233",4
"100040248",0
"100040249",0
"100040260",85
"100040262",0
"100040268",0
"100040271",1
"100040276",0
"100040293",13
"100040294",41
"100040298",1641
"100040299",0
"100040322",49
"100040328",1
"100040335",0
"100040339",11
"100040357",0
"100040363",0
"100040416",614
"100040417",0
"100040421",17
"100040429",0
"100040447",0
"100040448",0
"100040458",0
"100040462",47
"100040482",0
"100040500",740
"100040507",0
"100040525",702
"100040529",516
"100040531",108
"100040533",0
"100040545",2
"100040552",0
"100040557",2
"100040563",71
"100040567",0
"100040572",0
"100040585",0
"100040591",183
"100040599",12
"100040606",0
"100040608",31
"100040617",0
"100040632",0
"100040635",1
"100040657",1
"100040671",33
"100040682",113
"100040697",9
"100040698",0
"100040710",0
"100040712",0
"100040714",0
"100040722",0
"100040724",264
"100040732",0
"100040736",9
"100040766",1
"100040769",110
"100040771",0
"100040781",0
"100040786",0
"100040792",43
"100040807",1
"100040822",108
"100040843",0
"100040846",73
"100040851",0
"100040852",34
"100040854",0
"100040861",0
"100040867",0
"100040870",24
"100040880",12
"100040882",1
"100040885",0
"100040894",0
"100040899",0
"100040902",0
"100040911",0
"100040926",1
"100040935",1
"100040937",0
"100040938",49
"100040944",205
"100040961",282
"100040970",2039
"100040972",27
"100040981",0
"100040999",17
"100041012",13
"100041014",1
"100041032",0
"100041033",0
"100041034",0
"100041054",2
"100041057",0
"100041062",0
"100041076",0
"100041077",0
"100041085",0
"100041089",35
"100041096",0
"100041099",0
"100041102",0
"100041106",0
"100041108",0
"100041115",0
"100041121",0
"100041139",0
"100041146",0
"100041151",55
"100041177",0
"100041179",0
"100041187",0
"100041194",67
"100041223",0
"100041224",0
"100041230",1
"100041231",102
"100041239",3
"100041241",165
"100041244",81
"100041250",0
"100041253",0
"100041256",0
"100041261",0
"100041262",8
"100041264",0
"100041273",391
"100041279",20
"100041281",0
"100041283",9
"100041284",0
"100041286",23
"100041289",111
"100041290",7
"100041294",304
"100041296",0
"100041306",23
"100041311",3
"100041339",8
"100041346",0
"100041347",1
"100041351",0
"100041352",1
"100041354",0
"100041356",0
"100041362",0
"100041375",0
"100041379",1
"100041412",0
"100041420",114
"100041426",0
"100041433",2
"100041449",0
"100041479",1
"100041480",671
"100041488",0
"100041505",0
"100041515",26
"100041530",44
"100041546",67
"100041548",0
"100041550",0
"100041554",0
"100041562",1
"100041566",0
"100041574",169
"100041576",0
"100041578",0
"100041579",34
"100041581",3246
"100041585",1146
"100041586",3
"100041596",0
"100041598",0
"100041605",0
"100041618",0
"100041621",186
"100041631",0
"100041639",2
"100041655",8
"100041658",0
"100041660",0
"100041677",120
"100041678",15
"100041680",11
"100041687",1
"100041688",0
"100041694",6
"100041697",183
"100041702",0
"100041708",0
"100041712",0
"100041722",0
"100041724",0
"100041734",59
"100041735",33
"100041739",0
"100041749",0
"100041759",0
"100041774",2
"100041787",0
"100041805",0
"100041806",0
"100041811",0
"100041840",9
"100041874",34
"100041877",0
"100041879",2
"100041890",0
"100041895",0
"100041903",0
"100041931",0
"100041951",1
"100041952",0
"100041953",853
"100041958",8
"100041964",0
"100041965",2317
"100041968",0
"100041979",54
"100042013",0
"100042023",251
"100042024",0
"100042049",741
"100042054",18
"100042055",0
"100042056",3
"100042057",1
"100042065",0
"100042074",110
"100042079",0
"100042100",50
"100042109",0
"100042110",0
"100042118",2
"100042129",1
"100042130",0
"100042132",110
"100042143",65
"100042144",0
"100042149",48
"100042150",359
"100042159",0
"100042165",902
"100042166",24
"100042168",0
"100042173",281
"100042175",0
"100042178",322
"100042182",1
"100042194",101
"100042198",1
"100042201",1
"100042218",5
"100042225",0
"100042226",0
"100042235",46
"100042237",53
"100042254",0
"100042268",0
"100042275",0
"100042277",951
"100042279",0
"100042291",0
"100042294",0
"100042295",0
"100042304",6
"100042314",0
"100042332",19
"100042335",202
"100042337",0
"100042342",0
"100042372",0
"100042384",0
"100042410",0
"100042415",9
"100042417",0
"100042419",0
"100042428",0
"100042437",0
"100042444",0
"100042450",344
"100042458",73
"100042465",0
"100042470",0
"100042475",0
"100042479",0
"100042480",2219
"100042484",9
"100042493",42
"100042498",503
"100042499",1
"100042503",378
"100042514",0
"100042519",463
"100042533",431
"100042539",49
"100042548",0
"100042555",65
"100042560",0
"100042565",0
"100042568",1
"100042574",1
"100042577",4
"100042578",0
"100042579",0
"100042584",11
"100042591",1
"100042593",0
"100042594",0
"100042603",1
"100042605",1
"100042607",0
"100042614",2
"100042625",1321
"100042636",0
"100042639",0
"100042648",22
"100042653",1
"100042663",0
"100042669",0
"100042678",4
"100042679",111
"100042690",0
"100042698",9
"100042715",0
"100042757",11
"100042761",0
"100042773",787
"100042776",0
"100042781",1
"100042782",0
"100042784",621
"100042785",0
"100042786",151
"100042794",0
"100042802",1
"100042807",704
"100042810",0
"100042814",1
"100042819",0
"100042827",0
"100042840",0
"100042848",0
"100042849",0
"100042855",1
"100042856",206
"100042874",0
"100042875",28
"100042880",1250
"100042881",0
"100042889",8
"100042891",0
"100042894",8
"100042916",0
"100042921",0
"100042922",0
"100042926",0
"100042927",0
"100042929",0
"100042931",0
"100042939",0
"100042940",5
"100042943",0
"100042944",0
"100042945",6
"100042946",0
"100042948",50
"100042951",6
"100042953",0
"100042960",3
"100042964",0
"100042966",0
"100042968",0
"100042971",0
"100042976",0
"100042982",0
"100042988",0
"100042996",0
"100043002",277
"100043013",0
"100043016",0
"100043019",0
"100043025",0
"100043029",0
"100043033",0
"100043034",0
"100043037",0
"100043040",51
"100043043",0
"100043051",0
"100043057",0
"100043058",0
"100043059",211
"100043061",0
"100043065",0
"100043067",0
"100043070",0
"100043072",185
"100043074",31
"100043079",0
"100043083",0
"100043088",0
"100043089",24
"100043092",0
"100043101",0
"100043102",24
"100043103",0
"100043108",0
"100043123",10
"100043125",0
"100043132",0
"100043133",67
"100043143",11
"100043147",0
"100043150",0
"100043169",0
"100043176",1
"100043177",0
"100043180",0
"100043188",0
"100043189",99
"100043194",0
"100043197",0
"100043200",0
"100043202",2
"100043204",0
"100043207",6
"100043213",189
"100043214",0
"100043216",0
"100043218",0
"100043224",0
"100043227",0
"100043229",1
"100043231",0
"100043232",7
"100043235",0
"100043239",0
"100043245",0
"100043247",0
"100043251",0
"100043254",2
"100043255",0
"100043257",536
"100043270",0
"100043272",922
"100043274",0
"100043277",4
"100043282",3
"100043292",0
"100043300",0
"100043305",28
"100043308",0
"100043309",6
"100043314",0
"100043315",0
"100043322",0
"100043324",745
"100043326",0
"100043332",2
"100043335",1
"100043381",491
"100043387",406
"100043403",394
"100043407",57
"100043416",0
"100043424",3
"100043434",1
"100043450",28
"100043456",1
"100043461",4
"100043467",0
"100043468",1000
"100043474",1
"100043488",3
"100043489",174
"100043497",24
"100043507",99
"100043508",1225
"100043513",0
"100043515",4
"100043523",0
"100043536",0
"100043566",0
"100043569",0
"100043580",2
"100043582",0
"100043595",0
"100043596",0
"100043597",4421
"100043600",26
"100043604",0
"100043606",2
"100043609",0
"100043614",0
"100043617",0
"100043627",1
"100043629",0
"100043636",3
"100043638",0
"100043644",0
"100043645",0
"100043665",0
"100043667",0
"100043682",8
"100043684",0
"100043686",2
"100043688",2
"100043695",23
"100043706",6
"100043711",0
"100043721",0
"100043726",0
"100043729",0
"100043757",964
"100043761",595
"100043765",3
"100043766",51
"100043767",0
"100043772",199
"100043793",1
"100043805",20
"100043812",2
"100043813",1564
"100043817",0
"100043820",0
"100043827",0
"100043831",8
"100043836",0
"100043842",0
"100043856",0
"100043860",0
"100043861",0
"100043864",0
"100043868",0
"100043871",0
"100043885",0
"100043899",0
"100043902",105
"100043904",0
"100043910",0
"100043911",201
"100043914",56
"100043915",499
"100043920",216
"100043946",1
"100044193",96
"100044236",0
"100044509",36
"100044526",28
"100045066",4
"100045125",2
"100045469",191
"100045653",29
"100045778",25
"100045792",15
"100046078",0
"100046950",0
"100047123",19
"100047133",25
"100047482",10
"100047671",0
"100048534",136
"100048644",0
"100048658",9
"100048701",1
"100048884",11
"100048895",2
"100048985",4
"100049077",0
"100049161",0
"100049166",7
"100049545",0
"100049546",0
"100049547",0
"100049548",0
"100049549",1
"100049710",0
"100049711",0
"100049712",0
"100049713",0
"100049714",0
"100049715",0
"100061",8
"100066",0
"100072",10469
"100073351",57
"100087",192
"100088",240
"100090",204
"100093700",2
"100093714",4
"100101457",3
"100101484",9
"100101486",0
"100101488",0
"100101489",0
"100101491",0
"100101806",2240
"100101807",567
"100101919",195
"100101934",0
"100101936",3
"100101939",0
"100101940",0
"100101941",0
"100101942",0
"100102",100
"100113364",0
"100113365",1820
"100113394",0
"100113398",21
"100113411",0
"100113412",0
"100113413",0
"100113414",6
"100113481",0
"100114900",0
"100114901",0
"100114902",0
"100114904",0
"100115376",1
"100118398",0
"100121",1154
"100123473",6
"100124287",0
